FECHA (YYMMDD);HORA (HHMM);Temperatura (°C);
250129;2300;16,335;
250130;0000;15,26;
250130;0100;14,5875;
250130;0200;13,9225;
250130;0300;13,4975;
250130;0400;12,68;
250130;0500;12,245;
250130;0600;12,2675;
250130;0700;14,14;
250130;0800;15,5525;
250130;0900;17,715;
250130;1000;19,8675;
250130;1100;20,945;
250130;1200;21,88;
250130;1300;22,7225;
250130;1400;23,06;
250130;1500;22,365;
250130;1600;22,405;
250130;1700;21,5675;
250130;1800;20,1875;
250130;1900;19,4825;
250130;2000;18,3625;
250130;2100;17,67;
250130;2200;17,0575;
250130;2300;16,255;
250131;0000;15,1975;
250131;0100;14,3175;
250131;0200;13,4975;
250131;0300;12,9025;
250131;0400;12,55;
250131;0500;12,1175;
250131;0600;12,105;
250131;0700;14,1975;
250131;0800;17,5925;
250131;0900;22,385;
250131;1000;25,185;
250131;1100;25,915;
250131;1200;26,7725;
250131;1300;27,5825;
250131;1400;28,15;
250131;1500;27,66;
250131;1600;27,7375;
250131;1700;26,63;
250131;1800;25,2625;
250131;1900;22,7025;
250131;2000;20,3725;
250131;2100;19,2625;
250131;2200;18,275;
250131;2300;17,65;
250201;0000;16,9525;
250201;0100;16,355;
250201;0200;15,82;
250201;0300;15,55;
250201;0400;16,0875;
250201;0500;14,54;
250201;0600;14,03;
250201;0700;16,5625;
250201;0800;18,81;
250201;0900;20,0775;
250201;1000;21,625;
250201;1100;23,9875;
250201;1200;25,3525;
250201;1300;25,3975;
250201;1400;25,885;
250201;1500;25,9975;
250201;1600;25,7175;
250201;1700;25,135;
250201;1800;23,6625;
250201;1900;20,535;
250201;2000;18,02;
250201;2100;16,6225;
250201;2200;15,67;
250201;2300;14,96;
250202;0000;14,7675;
250202;0100;13,97;
250202;0200;13,7275;
250202;0300;12,6925;
250202;0400;11,25;
250202;0500;10,525;
250202;0600;10,3533;
250202;0700;12,6975;
250202;0800;15,44;
250202;0900;19,3725;
250202;1000;22,385;
250202;1100;23,35;
250202;1200;24,3;
250202;1300;23,1275;
250202;1400;23,1075;
250202;1500;22,46;
250202;1600;22,2725;
250202;1700;21,445;
250202;1800;20,7125;
250202;1900;19,8575;
250202;2000;19,005;
250202;2100;18,365;
250202;2200;17,59;
250202;2300;16,7925;
250203;0000;16,2625;
250203;0100;15,3025;
250203;0200;14,37;
250203;0300;13,76;
250203;0400;13,125;
250203;0500;12,67;
250203;0600;12,5175;
250203;0700;14,2375;
250203;0800;16,94;
250203;0900;20,85;
250203;1000;21,6925;
250203;1100;22,7625;
250203;1200;24,35;
250203;1300;24,955;
250203;1400;22,7825;
250203;1500;22,605;
250203;1600;23,555;
250203;1700;23,5167;
250203;1800;22,4425;
250203;1900;20,32;
250203;2000;18,08;
250203;2100;17,1625;
250203;2200;16,575;
250203;2300;15,835;
250204;0000;15,245;
250204;0100;14,7;
250204;0200;14,51;
250204;0300;13,955;
250204;0400;13,86;
250204;0500;13,5325;
250204;0600;13,0825;
250204;0700;15,29;
250204;0800;17,85;
250204;0900;21,23;
250204;1000;24,135;
250204;1100;26,3425;
250204;1200;27,0925;
250204;1300;27,34;
250204;1400;27,17;
250204;1500;26,69;
250204;1600;25,11;
250204;1700;24,2575;
250204;1800;21,73;
250204;1900;20,4675;
250204;2000;19,63;
250204;2100;19,275;
250204;2200;18,3925;
250204;2300;17,1075;
250205;0000;16,605;
250205;0100;17,105;
250205;0200;17,56;
250205;0300;16,6775;
250205;0400;16,2825;
250205;0500;16,3075;
250205;0600;16,4225;
250205;0700;17,4375;
250205;0800;18,82;
250205;0900;20,08;
250205;1000;21,75;
250205;1100;23,915;
250205;1200;24,29;
250205;1300;23,7375;
250205;1400;23,6775;
250205;1500;23,3625;
250205;1600;23,8125;
250205;1700;22,6975;
250205;1800;21,155;
250205;1900;19,9025;
250205;2000;18,475;
250205;2100;18,01;
250205;2200;17,52;
250205;2300;17,0075;
250206;0000;15,875;
250206;0100;15,1625;
250206;0200;14,7975;
250206;0300;14,7225;
250206;0400;14,395;
250206;0500;14,3175;
250206;0600;14,1175;
250206;0700;15,505;
250206;0800;18,08;
250206;0900;20,39;
250206;1000;22,745;
250206;1100;25,8975;
250206;1200;29,07;
250206;1300;28,425;
250206;1400;29,47;
250206;1500;30,13;
250206;1600;31,045;
250206;1700;30,8925;
250206;1800;29,48;
250206;1900;26,425;
250206;2000;23,25;
250206;2100;21,1475;
250206;2200;19,8075;
250206;2300;18,8025;
250207;0000;17,99;
250207;0100;17,215;
250207;0200;16,9825;
250207;0300;16,6175;
250207;0400;15,7275;
250207;0500;15,8575;
250207;0600;15,6925;
250207;0700;17,1775;
250207;0800;19,6825;
250207;0900;22,9825;
250207;1000;25,105;
250207;1100;25,5325;
250207;1200;26,9275;
250207;1300;27,2175;
250207;1400;29,28;
250207;1500;29,5725;
250207;1600;28,7075;
250207;1700;27,825;
250207;1800;25,785;
250207;1900;23,43;
250207;2000;21,115;
250207;2100;19,835;
250207;2200;18,58;
250207;2300;17,5467;
250208;0000;16,4533;
250208;0100;16,6475;
250208;0200;17,33;
250208;0300;17,0125;
250208;0400;16,6475;
250208;0500;15,59;
250208;0600;15,025;
250208;0700;16,4025;
250208;0800;20,125;
250208;0900;22,37;
250208;1000;25,95;
250208;1100;29,7075;
250208;1200;31,9775;
250208;1300;33,155;
250208;1400;32,8775;
250208;1500;31,4175;
250208;1600;30,525;
250208;1700;30,75;
250208;1800;29,2025;
250208;1900;25,815;
250208;2000;23,47;
250208;2100;22,115;
250208;2200;20,6325;
250208;2300;19,4275;
250209;0000;18,475;
250209;0100;18,1775;
250209;0200;18,4;
250209;0300;19,0875;
250209;0400;18,015;
250209;0500;17,06;
250209;0600;16,43;
250209;0700;18,41;
250209;0800;18,715;
250209;0900;23,28;
250209;1000;26,945;
250209;1100;31,0175;
250209;1200;34,5775;
250209;1300;35,735;
250209;1400;35,135;
250209;1500;35,4275;
250209;1600;33,635;
250209;1700;21,4675;
250209;1800;18,015;
250209;1900;16,7425;
250209;2000;16,275;
250209;2100;16,0625;
250209;2200;15,8475;
250209;2300;15,7225;
250210;0000;15,7;
250210;0100;15,455;
250210;0200;15,265;
250210;0300;15,0375;
250210;0400;14,8375;
250210;0500;14,5875;
250210;0600;14,73;
250210;0700;17,9325;
250210;0800;20,14;
250210;0900;22,465;
250210;1000;24,665;
250210;1100;27,28;
250210;1200;27,92;
250210;1300;27,7625;
250210;1400;28,2525;
250210;1500;27,9;
250210;1600;27,6825;
250210;1700;26,13;
250210;1800;23,5725;
250210;1900;21,4625;
250210;2000;19,9425;
250210;2100;19,1325;
250210;2200;19,525;
250210;2300;18,4925;
250211;0000;17,6875;
250211;0100;16,7225;
250211;0200;15,72;
250211;0300;15,3575;
250211;0400;15,4025;
250211;0500;15,2075;
250211;0600;14,5025;
250211;0700;15,505;
250211;0800;17,6925;
250211;0900;20,3575;
250211;1000;22,5925;
250211;1100;24,895;
250211;1200;25,605;
250211;1300;25,4;
250211;1400;25,37;
250211;1500;25,4525;
250211;1600;25,375;
250211;1700;24,2075;
250211;1800;22,73;
250211;1900;19,765;
250211;2000;18,0075;
250211;2100;17,11;
250211;2200;17,4575;
250211;2300;17,6375;
250212;0000;16,96;
250212;0100;16,1925;
250212;0200;15,7475;
250212;0300;14,7975;
250212;0400;13,4125;
250212;0500;12,82;
250212;0600;12,3125;
250212;0700;13,3325;
250212;0800;15,2875;
250212;0900;16,7;
250212;1000;19,475;
250212;1100;22,5225;
250212;1200;25,1175;
250212;1300;26,32;
250212;1400;26,4125;
250212;1500;26,5775;
250212;1600;25,8625;
250212;1700;24,75;
250212;1800;23,27;
250212;1900;20,6725;
250212;2000;18,4275;
250212;2100;17,015;
250212;2200;15,9575;
250212;2300;15,1925;
250213;0000;15,03;
250213;0100;14,915;
250213;0200;14,3;
250213;0300;14,2925;
250213;0400;13,8375;
250213;0500;12,82;
250213;0600;12,26;
250213;0700;14,2725;
250213;0800;16,6475;
250213;0900;19,045;
250213;1000;19,7;
250213;1100;21,1175;
250213;1200;23,625;
250213;1300;24,675;
250213;1400;25,055;
250213;1500;25,215;
250213;1600;24,905;
250213;1700;23,8375;
250213;1800;21,765;
250213;1900;19,235;
250213;2000;16,8175;
250213;2100;15,6025;
250213;2200;14,8175;
250213;2300;14,035;
250214;0000;13,7375;
250214;0100;13,205;
250214;0200;12,7425;
250214;0300;11,9975;
250214;0400;10,975;
250214;0500;10,3725;
250214;0600;9,925;
250214;0700;11,7725;
250214;0800;13,9525;
250214;0900;16,7225;
250214;1000;18,0075;
250214;1100;19,8825;
250214;1200;21,3925;
250214;1300;21,9925;
250214;1400;23,1425;
250214;1500;24,33;
250214;1600;24,57;
250214;1700;23,6075;
250214;1800;21,935;
250214;1900;19,6325;
250214;2000;17,33;
250214;2100;15,955;
250214;2200;15,12;
250214;2300;14,3625;
250215;0000;13,6725;
250215;0100;13,3275;
250215;0200;12,555;
250215;0300;12,1425;
250215;0400;11,735;
250215;0500;11,6975;
250215;0600;11,66;
250215;0700;13,405;
250215;0800;15,81;
250215;0900;17,13;
250215;1000;17,93;
250215;1100;20,38;
250215;1200;21,3725;
250215;1300;22,2625;
250215;1400;23,145;
250215;1500;24,105;
250215;1600;23,095;
250215;1700;23,57;
250215;1800;22,525;
250215;1900;19,4433;
250215;2000;16,585;
250215;2100;15,395;
250215;2200;14,6;
250215;2300;13,9825;
250216;0000;13,3575;
250216;0100;12,9475;
250216;0200;13,2625;
250216;0300;13,65;
250216;0400;12,955;
250216;0500;12,3125;
250216;0600;11,9875;
250216;0700;13,515;
250216;0800;15,6475;
250216;0900;18,21;
250216;1000;21,1525;
250216;1100;23,7775;
250216;1200;25,2475;
250216;1300;26,6825;
250216;1400;25,9825;
250216;1500;25,78;
250216;1600;25,7925;
250216;1700;24,44;
250216;1800;23,1425;
250216;1900;19,89;
250216;2000;17,96;
250216;2100;17,05;
250216;2200;15,945;
250216;2300;15,6275;
250217;0000;16,2225;
250217;0100;15,7675;
250217;0200;15,6425;
250217;0300;15,475;
250217;0400;14,57;
250217;0500;13,4825;
250217;0600;12,4125;
250217;0700;13,6675;
250217;0800;16,1475;
250217;0900;18,8025;
250217;1000;21,425;
250217;1100;24,6;
250217;1200;26,3425;
250217;1300;27,005;
250217;1400;27,6275;
250217;1500;27,21;
250217;1600;26,5875;
250217;1700;25,86;
250217;1800;23,9425;
250217;1900;20,4775;
250217;2000;18,7725;
250217;2100;17,485;
250217;2200;16,5775;
250217;2300;15,8275;
250218;0000;15,07;
250218;0100;14,4575;
250218;0200;13,4425;
250218;0300;12,8975;
250218;0400;12,645;
250218;0500;12,145;
250218;0600;12,835;
250218;0700;14,6425;
250218;0800;17,7233;
250218;0900;20,2675;
250218;1000;23,7025;
250218;1100;27,44;
250218;1200;30,865;
250218;1300;32,975;
250218;1400;33,3125;
250218;1500;31,21;
250218;1600;29,6625;
250218;1700;26,405;
250218;1800;23,7925;
250218;1900;20,6225;
250218;2000;18,5867;
250218;2100;16,7;
250218;2200;16,135;
250218;2300;15,4825;
250219;0000;14,63;
250219;0100;14,08;
250219;0200;13,77;
250219;0300;13,605;
250219;0400;13,685;
250219;0500;13,6367;
250219;0600;13,055;
250219;0700;13,11;
250219;0800;13,3967;
250219;0900;13,815;
250219;1000;14,595;
250219;1100;15,3575;
250219;1200;16,055;
250219;1300;16,3675;
250219;1400;17,7725;
250219;1500;18,23;
250219;1600;17,07;
250219;1700;16,165;
250219;1800;15,7925;
250219;1900;15,485;
250219;2000;15,25;
250219;2100;15,3075;
250219;2200;15,4875;
250219;2300;15,37;
250220;0000;15,1725;
250220;0100;14,9875;
250220;0200;14,755;
250220;0300;14,74;
250220;0400;14,665;
250220;0500;14,6425;
250220;0600;14,68;
250220;0700;14,6625;
250220;0800;14,9825;
250220;0900;15,9525;
250220;1000;17,015;
250220;1100;17,23;
250220;1200;17,605;
250220;1300;17,3975;
250220;1400;18,2;
250220;1500;20,1575;
250220;1600;19,195;
250220;1700;18,5975;
250220;1800;17,785;
250220;1900;16,6425;
250220;2000;15,9475;
250220;2100;15,63;
250220;2200;15,1925;
250220;2300;14,8725;
250221;0000;14,1875;
250221;0100;13,125;
250221;0200;12,1725;
250221;0300;11,435;
250221;0400;10,8075;
250221;0500;10,3275;
250221;0600;9,97501;
250221;0700;11,1575;
250221;0800;14,6375;
250221;0900;18,41;
250221;1000;20,5025;
250221;1100;21,6275;
250221;1200;23,38;
250221;1300;23,75;
250221;1400;24,2075;
250221;1500;23,98;
250221;1600;22,895;
250221;1700;21,2275;
250221;1800;20,6025;
250221;1900;19,3425;
250221;2000;18,14;
250221;2100;17,4925;
250221;2200;17,145;
250221;2300;16,7675;
250222;0000;15,775;
250222;0100;14,4375;
250222;0200;13,2625;
250222;0300;13,075;
250222;0400;12,445;
250222;0500;12,0325;
250222;0600;11,735;
250222;0700;12,6975;
250222;0800;15,465;
250222;0900;18,5525;
250222;1000;20,965;
250222;1100;24,705;
250222;1200;24,7975;
250222;1300;25,815;
250222;1400;27,315;
250222;1500;24,6925;
250222;1600;24,7775;
250222;1700;25,7225;
250222;1800;24,605;
250222;1900;22,195;
250222;2000;20,7725;
250222;2100;19,8475;
250222;2200;19,8425;
250222;2300;19,4575;
250223;0000;18,225;
250223;0100;16,89;
250223;0200;15,5925;
250223;0300;14,745;
250223;0400;14,125;
250223;0500;13,5875;
250223;0600;13,5775;
250223;0700;14,6525;
250223;0800;18,2775;
250223;0900;21,5033;
250223;1000;24,6425;
250223;1100;26,1375;
250223;1200;27,1575;
250223;1300;26,7525;
250223;1400;26,0875;
250223;1500;25,3625;
250223;1600;24,205;
250223;1700;23,5925;
250223;1800;21,34;
250223;1900;20,9825;
250223;2000;20,365;
250223;2100;19,915;
250223;2200;19,375;
250223;2300;19,11;
250224;0000;18,4125;
250224;0100;17,8425;
250224;0200;17,415;
250224;0300;17,3225;
250224;0400;17,195;
250224;0500;16,64;
250224;0600;16,2625;
250224;0700;16,7725;
250224;0800;18,89;
250224;0900;21,095;
250224;1000;23,9175;
250224;1100;25,3925;
250224;1200;27,7875;
250224;1300;28,6625;
250224;1400;28,7375;
250224;1500;28,8125;
250224;1600;28,0375;
250224;1700;27,425;
250224;1800;26,0725;
250224;1900;22,6425;
250224;2000;20,8925;
250224;2100;19,15;
250224;2200;17,98;
250224;2300;17,055;
250225;0000;16,695;
250225;0100;16,51;
250225;0200;16,3175;
250225;0300;15,46;
250225;0400;14,0125;
250225;0500;12,8825;
250225;0600;13,0325;
250225;0700;14,56;
250225;0800;17,275;
250225;0900;19,7175;
250225;1000;22,6975;
250225;1100;26,0325;
250225;1200;27,185;
250225;1300;28,6525;
250225;1400;;
250225;1500;;
250225;1600;28,9967;
250225;1700;27,6025;
250225;1800;24,1875;
250225;1900;21,0925;
250225;2000;19,4425;
250225;2100;17,99;
250225;2200;17,1325;
250225;2300;16,29;
250226;0000;15,52;
250226;0100;15,0725;
250226;0200;15,0833;
250226;0300;15,4775;
250226;0400;15,14;
250226;0500;13,93;
250226;0600;12,8825;
250226;0700;13,5825;
250226;0800;16,285;
250226;0900;20,04;
250226;1000;23,5675;
250226;1100;26,5775;
250226;1200;29,785;
250226;1300;28,5125;
250226;1400;30,13;
250226;1500;30,17;
250226;1600;30,925;
250226;1700;27,82;
250226;1800;25,205;
250226;1900;22,105;
250226;2000;20,45;
250226;2100;19,2525;
250226;2200;18,5075;
250226;2300;16,8975;
250227;0000;15,8075;
250227;0100;15,365;
250227;0200;14,6225;
250227;0300;14,065;
250227;0400;13,4075;
250227;0500;12,89;
250227;0600;12,5275;
250227;0700;13,735;
250227;0800;16,01;
250227;0900;18,415;
250227;1000;21,545;
250227;1100;25,345;
250227;1200;26,5125;
250227;1300;26,585;
250227;1400;25,24;
250227;1500;24,5425;
250227;1600;23,6075;
250227;1700;21,9075;
250227;1800;20,175;
250227;1900;18,25;
250227;2000;18,0575;
250227;2100;17,4625;
250227;2200;16,81;
250227;2300;16,425;
250228;0000;16,55;
250228;0100;16,9925;
250228;0200;17,2275;
250228;0300;17,4575;
250228;0400;17,3175;
250228;0500;17,1825;
250228;0600;16,875;
250228;0700;16,655;
250228;0800;16,455;
250228;0900;16,55;
250228;1000;17,0375;
250228;1100;18;
250228;1200;17,9475;
250228;1300;17,645;
250228;1400;17,64;
250228;1500;17,6;
250228;1600;17,445;
250228;1700;17,73;
250228;1800;17,51;
250228;1900;17,035;
250228;2000;16,9525;
250228;2100;16,8425;
250228;2200;16,765;
250228;2300;16,675;
250301;0000;16,7675;
250301;0100;16,8325;
250301;0200;16,88;
250301;0300;16,9175;
250301;0400;16,9875;
250301;0500;17,035;
250301;0600;17,1075;
250301;0700;17,4125;
250301;0800;18,16;
250301;0900;18,4733;
250301;1000;18,3525;
250301;1100;18,85;
250301;1200;18,8825;
250301;1300;19,715;
250301;1400;20,4;
250301;1500;20,3475;
250301;1600;20,36;
250301;1700;18,98;
250301;1800;18,4025;
250301;1900;17,42;
250301;2000;16,21;
250301;2100;15,1675;
250301;2200;14,555;
250301;2300;14,1675;
250302;0000;13,54;
250302;0100;13,315;
250302;0200;12,49;
250302;0300;12,04;
250302;0400;12,1825;
250302;0500;12,2;
250302;0600;12,4125;
250302;0700;12,6825;
250302;0800;13,1025;
250302;0900;16,025;
250302;1000;18,4175;
250302;1100;20,3267;
250302;1200;21,2725;
250302;1300;21,86;
250302;1400;21,9075;
250302;1500;21,8675;
250302;1600;21,13;
250302;1700;20,9925;
250302;1800;19,2925;
250302;1900;18,02;
250302;2000;17,025;
250302;2100;16,4525;
250302;2200;16,58;
250302;2300;16,425;
250303;0000;16,47;
250303;0100;16,55;
250303;0200;16,3675;
250303;0300;16,3925;
250303;0400;16,615;
250303;0500;16,41;
250303;0600;16,1425;
250303;0700;16,5225;
250303;0800;17,36;
250303;0900;18,8;
250303;1000;20,7625;
250303;1100;21,6275;
250303;1200;21,3425;
250303;1300;22,7325;
250303;1400;23,2425;
250303;1500;23,75;
250303;1600;22,635;
250303;1700;21,965;
250303;1800;20,945;
250303;1900;18,415;
250303;2000;17,3425;
250303;2100;16,0075;
250303;2200;14,88;
250303;2300;14,505;
250304;0000;14,0225;
250304;0100;13,505;
250304;0200;13,0725;
250304;0300;12,4125;
250304;0400;12,06;
250304;0500;11,815;
250304;0600;11,465;
250304;0700;11,69;
250304;0800;14,7875;
250304;0900;18,0875;
250304;1000;20,3225;
250304;1100;22,795;
250304;1200;23,085;
250304;1300;22,9875;
250304;1400;22,9975;
250304;1500;23,405;
250304;1600;22,5625;
250304;1700;21,615;
250304;1800;20,2175;
250304;1900;18,8175;
250304;2000;18,07;
250304;2100;18,0725;
250304;2200;17,81;
250304;2300;17,175;
250305;0000;16,505;
250305;0100;16,2575;
250305;0200;15,64;
250305;0300;15,1725;
250305;0400;14,845;
250305;0500;14,305;
250305;0600;13,9325;
250305;0700;14,145;
250305;0800;16,06;
250305;0900;20;
250305;1000;23,6125;
250305;1100;23,195;
250305;1200;23,605;
250305;1300;23,9025;
250305;1400;23,7675;
250305;1500;23,5775;
250305;1600;23,1175;
250305;1700;22,37;
250305;1800;21,06;
250305;1900;18,935;
250305;2000;18,1225;
250305;2100;17,3725;
250305;2200;16,955;
250305;2300;17,005;
250306;0000;16,9825;
250306;0100;17,305;
250306;0200;17,68;
250306;0300;17,5033;
250306;0400;16,9225;
250306;0500;16,835;
250306;0600;16,8575;
250306;0700;17,045;
250306;0800;17,5775;
250306;0900;18,8275;
250306;1000;19,7025;
250306;1100;19,65;
250306;1200;20,0825;
250306;1300;20,8375;
250306;1400;20,4325;
250306;1500;19,7;
250306;1600;19,47;
250306;1700;19,5225;
250306;1800;18,9775;
250306;1900;18,115;
250306;2000;16,7925;
250306;2100;16,1675;
250306;2200;15,95;
250306;2300;15,8175;
250307;0000;16,2475;
250307;0100;16,78;
250307;0200;16,75;
250307;0300;16,6425;
250307;0400;16,2875;
250307;0500;15,485;
250307;0600;15,1267;
250307;0700;15,17;
250307;0800;15,72;
250307;0900;16,6225;
250307;1000;18,0875;
250307;1100;18,6125;
250307;1200;20,05;
250307;1300;20,39;
250307;1400;20,73;
250307;1500;21,1775;
250307;1600;21,0675;
250307;1700;20,7175;
250307;1800;19,2125;
250307;1900;17,1225;
250307;2000;16,1275;
250307;2100;14,9375;
250307;2200;13,2025;
250307;2300;12,3;
250308;0000;11,625;
250308;0100;12,4375;
250308;0200;12,8575;
250308;0300;12,4375;
250308;0400;12,4125;
250308;0500;12,1725;
250308;0600;11,9475;
250308;0700;12,115;
250308;0800;14,885;
250308;0900;16,7675;
250308;1000;19,3075;
250308;1100;22,0725;
250308;1200;24,0275;
250308;1300;24,0325;
250308;1400;25,085;
250308;1500;25,455;
250308;1600;25,3025;
250308;1700;24,9575;
250308;1800;23,2175;
250308;1900;19,1225;
250308;2000;17,0225;
250308;2100;15,66;
250308;2200;14,4;
250308;2300;13,575;
250309;0000;12,925;
250309;0100;12,7125;
250309;0200;12,2;
250309;0300;11,56;
250309;0400;10,875;
250309;0500;10,54;
250309;0600;10,505;
250309;0700;11,1;
250309;0800;13,4475;
250309;0900;16,4575;
250309;1000;20,3475;
250309;1100;25,1225;
250309;1200;29,21;
250309;1300;30,4125;
250309;1400;30,8375;
250309;1500;30,12;
250309;1600;30,5725;
250309;1700;29,6075;
250309;1800;24,86;
250309;1900;21,325;
250309;2000;20,465;
250309;2100;19,17;
250309;2200;17,0025;
250309;2300;15,9575;
250310;0000;15,32;
250310;0100;14,745;
250310;0200;14,0225;
250310;0300;13,455;
250310;0400;13,23;
250310;0500;13,0125;
250310;0600;12,5275;
250310;0700;12,9475;
250310;0800;17,2375;
250310;0900;19,88;
250310;1000;21,76;
250310;1100;24,6025;
250310;1200;26,31;
250310;1300;26,7725;
250310;1400;26,345;
250310;1500;25,705;
250310;1600;24,36;
250310;1700;23,48;
250310;1800;21,7525;
250310;1900;19,705;
250310;2000;18,18;
250310;2100;17,045;
250310;2200;16,035;
250310;2300;15,43;
250311;0000;15,655;
250311;0100;16,23;
250311;0200;15,7375;
250311;0300;14,835;
250311;0400;13,9075;
250311;0500;12,7325;
250311;0600;10,74;
250311;0700;11,6625;
250311;0800;13,825;
250311;0900;15,165;
250311;1000;18,845;
250311;1100;22,25;
250311;1200;25,835;
250311;1300;28,125;
250311;1400;28,84;
250311;1500;28,89;
250311;1600;29,6625;
250311;1700;29,26;
250311;1800;27,1825;
250311;1900;23,12;
250311;2000;19,825;
250311;2100;17,745;
250311;2200;16,83;
250311;2300;15,6325;
250312;0000;14,7625;
250312;0100;13,73;
250312;0200;12,82;
250312;0300;13,485;
250312;0400;13,455;
250312;0500;12,33;
250312;0600;12,1825;
250312;0700;12,4825;
250312;0800;16,6575;
250312;0900;20,985;
250312;1000;24,68;
250312;1100;27,845;
250312;1200;30,9425;
250312;1300;32,81;
250312;1400;33,94;
250312;1500;34,1375;
250312;1600;32,7525;
250312;1700;31,4175;
250312;1800;28,4975;
250312;1900;24,1825;
250312;2000;20,8775;
250312;2100;19,1475;
250312;2200;17,9175;
250312;2300;16,8375;
250313;0000;15,6825;
250313;0100;14,935;
250313;0200;14,375;
250313;0300;13,5625;
250313;0400;13,425;
250313;0500;13,86;
250313;0600;13,7475;
250313;0700;13,7825;
250313;0800;15,6875;
250313;0900;18,74;
250313;1000;23,0325;
250313;1100;25,965;
250313;1200;26,68;
250313;1300;26,7275;
250313;1400;28,045;
250313;1500;28,3425;
250313;1600;27,9275;
250313;1700;27,6025;
250313;1800;24,32;
250313;1900;20,3175;
250313;2000;18,4225;
250313;2100;16,145;
250313;2200;14,7375;
250313;2300;13,7475;
250314;0000;12,9425;
250314;0100;12,72;
250314;0200;12,7825;
250314;0300;12,8875;
250314;0400;12,835;
250314;0500;12,765;
250314;0600;12,97;
250314;0700;13,2775;
250314;0800;13,6075;
250314;0900;15,04;
250314;1000;16,6225;
250314;1100;17,2825;
250314;1200;16,6825;
250314;1300;16,39;
250314;1400;15,7425;
250314;1500;16,7075;
250314;1600;16,05;
250314;1700;16,9625;
250314;1800;15,885;
250314;1900;14,395;
250314;2000;13,4775;
250314;2100;13,0325;
250314;2200;12,675;
250314;2300;12;
250315;0000;11,525;
250315;0100;11,0075;
250315;0200;10,55;
250315;0300;10,66;
250315;0400;10,96;
250315;0500;10,9467;
250315;0600;11,0275;
250315;0700;11,5925;
250315;0800;12,4675;
250315;0900;13,8275;
250315;1000;15,3;
250315;1100;16,6825;
250315;1200;17,92;
250315;1300;18,8875;
250315;1400;18,7075;
250315;1500;18,485;
250315;1600;18,36;
250315;1700;18,565;
250315;1800;17,4425;
250315;1900;16,295;
250315;2000;15,8325;
250315;2100;15,565;
250315;2200;14,8025;
250315;2300;14,6075;
250316;0000;14,0875;
250316;0100;14,125;
250316;0200;13,6325;
250316;0300;12,3625;
250316;0400;11,6275;
250316;0500;11,385;
250316;0600;11,2325;
250316;0700;11,485;
250316;0800;13,885;
250316;0900;16,5625;
250316;1000;19,3975;
250316;1100;20,78;
250316;1200;21,92;
250316;1300;23,0125;
250316;1400;23,16;
250316;1500;23,91;
250316;1600;23,94;
250316;1700;22,7075;
250316;1800;21;
250316;1900;17,81;
250316;2000;16,685;
250316;2100;15,38;
250316;2200;14,525;
250316;2300;13,645;
250317;0000;13,085;
250317;0100;12,8225;
250317;0200;12,02;
250317;0300;11,7775;
250317;0400;11,11;
250317;0500;10,8125;
250317;0600;10,2075;
250317;0700;10,5275;
250317;0800;13,56;
250317;0900;16,0675;
250317;1000;20,0225;
250317;1100;23,1725;
250317;1200;25,06;
250317;1300;26,15;
250317;1400;26,4625;
250317;1500;26,725;
250317;1600;26,45;
250317;1700;24,9225;
250317;1800;22,265;
250317;1900;19,6075;
250317;2000;18,2025;
250317;2100;18,5725;
250317;2200;19,285;
250317;2300;18,2675;
250318;0000;16,98;
250318;0100;16,1;
250318;0200;14,9275;
250318;0300;14,0925;
250318;0400;13,0925;
250318;0500;12,2425;
250318;0600;11,4425;
250318;0700;11,79;
250318;0800;14,42;
250318;0900;17,0525;
250318;1000;19,5675;
250318;1100;23,55;
250318;1200;26,8475;
250318;1300;29,005;
250318;1400;30,445;
250318;1500;28,135;
250318;1600;29,6975;
250318;1700;28,0525;
250318;1800;24,8325;
250318;1900;20,8725;
250318;2000;18,985;
250318;2100;17,2675;
250318;2200;16,3425;
250318;2300;15,485;
250319;0000;14,5475;
250319;0100;13,5625;
250319;0200;13,015;
250319;0300;12,3025;
250319;0400;11,9975;
250319;0500;11,52;
250319;0600;11,53;
250319;0700;11,44;
250319;0800;13,46;
250319;0900;17,025;
250319;1000;20,0325;
250319;1100;23,2475;
250319;1200;25,97;
250319;1300;28,1875;
250319;1400;26,835;
250319;1500;26,805;
250319;1600;26,1025;
250319;1700;25,1525;
250319;1800;21,6775;
250319;1900;17,49;
250319;2000;15,75;
250319;2100;14,9325;
250319;2200;14,485;
250319;2300;14,125;
250320;0000;13,67;
250320;0100;13,11;
250320;0200;12,6075;
250320;0300;12,205;
250320;0400;11,765;
250320;0500;11,77;
250320;0600;12,9575;
250320;0700;14,4375;
250320;0800;17,15;
250320;0900;19,9275;
250320;1000;22,47;
250320;1100;24,2225;
250320;1200;25,9125;
250320;1300;26,615;
250320;1400;26,2475;
250320;1500;25,68;
250320;1600;25,4225;
250320;1700;24,195;
250320;1800;22,465;
250320;1900;20,7175;
250320;2000;19,805;
250320;2100;19,2375;
250320;2200;18,2725;
250320;2300;17,2575;
250321;0000;16,7433;
250321;0100;16,61;
250321;0200;16,6775;
250321;0300;16,015;
250321;0400;15,23;
250321;0500;15,0125;
250321;0600;14,72;
250321;0700;15,585;
250321;0800;17,7025;
250321;0900;20,135;
250321;1000;22,2175;
250321;1100;24,435;
250321;1200;25,51;
250321;1300;25,0525;
