FECHA (YYMMDD);HORA (HHMM);Direccion Viento (grados);
250129;1200;315,657;
250129;1300;323,781;
250129;1400;332,231;
250129;1500;334,643;
250129;1600;336,743;
250129;1700;289,443;
250129;1800;287,067;
250129;1900;330,166;
250129;2000;298,078;
250129;2100;18,2192;
250129;2200;324,821;
250129;2300;319,385;
250130;0000;322,482;
250130;0100;320,126;
250130;0200;333,482;
250130;0300;335,025;
250130;0400;0;
250130;0500;2,10799;
250130;0600;52,2168;
250130;0700;318,356;
250130;0800;304,498;
250130;0900;315,804;
250130;1000;330,419;
250130;1100;339,029;
250130;1200;331,59;
250130;1300;317,965;
250130;1400;267,776;
250130;1500;255,739;
250130;1600;251,417;
250130;1700;235,619;
250130;1800;254,595;
250130;1900;250,268;
250130;2000;46,2534;
250130;2100;122,029;
250130;2200;129,378;
250130;2300;112,365;
250131;0000;264,747;
250131;0100;66,4799;
250131;0200;127,322;
250131;0300;141,487;
250131;0400;113,595;
250131;0500;158,966;
250131;0600;145,762;
250131;0700;164,79;
250131;0800;178,723;
250131;0900;179,424;
250131;1000;183,384;
250131;1100;204,062;
250131;1200;209,668;
250131;1300;212,153;
250131;1400;221,89;
250131;1500;228,527;
250131;1600;225,155;
250131;1700;211,911;
250131;1800;213,503;
250131;1900;244,306;
