FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
250923;0000;11;;;
250924;0000;10;;;
250925;0000;7;;;
250926;0000;7;;;
250927;0000;8;;;
250928;0000;12;;;
250929;0000;13;;;
250930;0000;9;;;
251001;0000;;12;;
251002;0000;;9;;
251003;0000;;6;;
251004;0000;;6;;
251005;0000;;8;;
251006;0000;;12;;
251007;0000;;8;;
251008;0000;;6;;
251009;0000;;8;;
251010;0000;;7;;
251011;0000;;7;;
251012;0000;;6;;
251013;0000;;7;;
251014;0000;;5;;
251015;0000;;6;;
251016;0000;;7;;
251017;0000;;11;;
251018;0000;;10;;
251019;0000;;7;;
251020;0000;;4;;
251021;0000;;6;;
251022;0000;;6;;
251023;0000;;5;;
251024;0000;;6;;
251025;0000;;4;;
251026;0000;;3;;
251027;0000;;8;;
251028;0000;;4;;
251029;0000;;5;;
251030;0000;;5;;
251031;0000;;4;;
251101;0000;;;;
251102;0000;;;;
251103;0000;;;;
251104;0000;;5;;
251105;0000;;8;;
251106;0000;;9;;
251107;0000;;7;;
251108;0000;;7;;
251109;0000;;;;
251110;0000;;;;
251111;0000;;2;;
251112;0000;;3;;
251113;0000;;5;;
251114;0000;;7;;
251115;0000;;5;;
251116;0000;;4;;
251117;0000;;4;;
251118;0000;;;1;
251119;0000;;;0;
251120;0000;;;0;
251121;0000;;;4;
251122;0000;;9;;
251123;0000;;11;;
251124;0000;;10;;
251125;0000;;10;;
251126;0000;;5;;
251127;0000;;4;;
251128;0000;;3;;
251129;0000;;4;;
251130;0000;;2;;
251201;0000;;4;;
251202;0000;;3;;
251203;0000;;4;;
251204;0000;;3;;
251205;0000;;6;;
251206;0000;;8;;
251207;0000;;12;;
251208;0000;;10;;
251209;0000;;;;
