FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
250724;0000;5,27398;;;
250725;0000;4,98701;;;
250726;0000;6,07629;;;
250727;0000;3,62209;;;
250728;0000;8,47087;;;
250729;0000;9,80698;;;
250730;0000;3,5223;;;
250731;0000;3,25133;;;
250801;0000;5,01215;;;
250802;0000;6,58037;;;
250803;0000;7,70755;;;
250804;0000;10,3293;;;
250805;0000;15,3392;;;
250806;0000;11,2775;;;
250807;0000;8,39217;;;
250808;0000;10,0499;;;
250809;0000;7,99277;;;
250810;0000;5,92827;;;
250811;0000;9,44923;;;
250812;0000;7,59326;;;
250813;0000;6,99975;;;
250814;0000;7,08956;;;
250815;0000;5,90286;;;
250816;0000;5,96309;;;
250817;0000;6,08641;;;
250818;0000;8,67088;;;
250819;0000;12,7693;;;
250820;0000;5,77527;;;
250821;0000;4,32541;;;
250822;0000;7,43677;;;
250823;0000;6,29325;;;
250824;0000;6,83368;;;
250825;0000;4,8586;;;
250826;0000;7,47501;;;
250827;0000;7,50129;;;
250828;0000;3,6775;;;
250829;0000;8,54327;;;
250830;0000;6,94971;;;
250831;0000;5,15662;;;
250901;0000;4,72922;;;
250902;0000;7,52332;;;
250903;0000;3,64332;;;
250904;0000;9,53371;;;
250905;0000;10,3183;;;
250906;0000;3,37789;;;
250907;0000;4,39503;;;
250908;0000;5,41238;;;
250909;0000;2,40242;;;
250910;0000;8,70532;;;
250911;0000;8,52193;;;
250912;0000;9,49104;;;
250913;0000;3,85998;;;
250914;0000;3,16832;;;
250915;0000;5,07532;;;
250916;0000;5,68974;;;
250917;0000;5,95823;;;
250918;0000;2,12479;;;
250919;0000;2,06742;;;
250920;0000;3,44437;;;
250921;0000;4,56571;;;
250922;0000;4,18476;;;
250923;0000;8,18687;;;
250924;0000;5,92858;;;
250925;0000;5,63122;;;
250926;0000;5,10222;;;
250927;0000;3,55439;;;
250928;0000;3,55192;;;
250929;0000;7,16953;;;
250930;0000;3,95989;;;
251001;0000;;7,1371;;
251002;0000;;7,6039;;
251003;0000;;4,39024;;
251004;0000;;3,38855;;
251005;0000;;3,1326;;
251006;0000;;4,60036;;
251007;0000;;8,52034;;
251008;0000;;3,88346;;
251009;0000;;6,57123;;
251010;0000;;4,93938;;
251011;0000;;5,10826;;
251012;0000;;3,62103;;
251013;0000;;3,21288;;
251014;0000;;4,29172;;
251015;0000;;4,52759;;
251016;0000;;3,03103;;
251017;0000;;10,2349;;
251018;0000;;4,19766;;
251019;0000;;5,02839;;
251020;0000;;5,70934;;
251021;0000;;7,75415;;
251022;0000;;3,81497;;
251023;0000;;7,54331;;
251024;0000;;4,82119;;
251025;0000;;3,71992;;
251026;0000;;3,2794;;
251027;0000;;4,48539;;
251028;0000;;2,96498;;
251029;0000;;4,63704;;
251030;0000;;4,896;;
251031;0000;;3,69366;;
251101;0000;;;;
251102;0000;;;;
251103;0000;;;;
251104;0000;;3,16873;;
251105;0000;;3,96266;;
251106;0000;;5,38756;;
251107;0000;;3,77996;;
251108;0000;;3,20803;;
251109;0000;;;;
251110;0000;;;;
251111;0000;;3,70257;;
251112;0000;;2,94903;;
251113;0000;;4,79836;;
251114;0000;;8,07137;;
251115;0000;;3,86795;;
251116;0000;;2,65058;;
251117;0000;;2,94345;;
251118;0000;;3,27126;;
251119;0000;;2,51432;;
251120;0000;;2,61549;;
251121;0000;;3,05378;;
251122;0000;;5,70734;;
251123;0000;;3,29857;;
251124;0000;;3,23591;;
251125;0000;;3,27664;;
251126;0000;;3,40953;;
251127;0000;;2,55544;;
251128;0000;;2,98476;;
251129;0000;;2,08588;;
251130;0000;;2,08629;;
251201;0000;;2,90237;;
251202;0000;;3,30759;;
251203;0000;;3,67158;;
251204;0000;;3,96555;;
251205;0000;;3,01881;;
251206;0000;;3,54896;;
251207;0000;;2,68929;;
251208;0000;;2,71201;;
251209;0000;;;;
